pass?,rank,up %,radio,gateway,uptime
✅,#1,100.00%,BLiNQ F30A-21150039,overall-ozraraptor-paper-3123,up 14 days 0 minutes
✅,#2,100.00%,Baicells 12020004212217Y0051,rising-kip-wisteria-6430,up 14 days 0 minutes
✅,#3,100.00%,Baicells 12020004212217Y0042,rising-kip-wisteria-6430,up 14 days 0 minutes
✅,#4,100.00%,Baicells 1202000291217RB0786,artistic-climb-timimus-8541,up 14 days 0 minutes
✅,#5,100.00%,BLiNQ F30A-21150042,ultimate-bug-bramble-8214,up 14 days 0 minutes
✅,#6,100.00%,BLiNQ F30A-21130032,fashionable-hare-freesia-8683,up 14 days 0 minutes
✅,#7,100.00%,Baicells 1202000291217RB0732,experimental-glasses-cheek-1777,up 14 days 0 minutes
✅,#8,100.00%,Baicells 120200046421CKY0990,experimental-glasses-cheek-1777,up 14 days 0 minutes
✅,#9,100.00%,Baicells 1202000470221TY0347,juicy-wrench-hub-7443,up 14 days 0 minutes
✅,#10,100.00%,Baicells 1202000291217RB0855,decisive-creek-leader-4008,up 14 days 0 minutes
✅,#11,100.00%,Baicells 1202000291217RB0712,individual-petroleum-aragon-7576,up 14 days 0 minutes
✅,#12,100.00%,Baicells 1202000470221TY0081,ugly-attraction-guardian-0400,up 14 days 0 minutes
✅,#13,100.00%,BLiNQ F30A-21300015,honest-duckling-dance-6157,up 14 days 0 minutes
✅,#14,100.00%,BLiNQ FI03-20380006,temporary-gallimimus-pump-8415,up 14 days 0 minutes
✅,#15,100.00%,BLiNQ F30A-21320006,temporary-gallimimus-pump-8415,up 14 days 0 minutes
✅,#16,100.00%,BLiNQ F30A-21140017,implicit-article-eustoma-2834,up 14 days 0 minutes
✅,#17,100.00%,Baicells 1202000470221TY0429,long-bottom-seed-1500,up 14 days 0 minutes
✅,#18,100.00%,Baicells 1202000240215KY0075,parental-pitcher-zenobia-0115,up 14 days 0 minutes
✅,#19,100.00%,Baicells 1202000395219NB0241,marked-scribe-hair-7732,up 14 days 0 minutes
✅,#20,100.00%,BLiNQ FI03-21020001,electronic-marquess-silene-0866,up 14 days 0 minutes
✅,#21,100.00%,BLiNQ FI03-20460014,protestant-random-william-1573,up 14 days 0 minutes
✅,#22,100.00%,BLiNQ F30A-21150033,protestant-random-william-1573,up 14 days 0 minutes
✅,#23,100.00%,Baicells 12020004212217Y0029,sexual-baseball-jam-2406,up 14 days 0 minutes
✅,#24,100.00%,BLiNQ F30A-21160040,intense-grain-camel-1175,up 14 days 0 minutes
✅,#25,100.00%,BLiNQ F30A-21160039,intense-grain-camel-1175,up 14 days 0 minutes
✅,#26,100.00%,Baicells 12020004212217Y0180,casual-sandwich-drizzle-7672,up 14 days 0 minutes
✅,#27,100.00%,BLiNQ F30A-21160027,spare-wealth-lyric-8565,up 14 days 0 minutes
✅,#28,100.00%,BLiNQ FI03-20420040,spare-wealth-lyric-8565,up 14 days 0 minutes
✅,#29,100.00%,Baicells 1202000470221TY0269,efficient-floor-inspiration-5774,up 3 days 13 hours 0 minutes
✅,#30,99.95%,BLiNQ F30A-21130030,gorgeous-bread-spectroscope-2221,up 13 days 23 hours 50 minutes
✅,#31,99.95%,Baicells 1202000291217RB0584,grieving-tree-princess-8622,up 13 days 23 hours 50 minutes
✅,#32,99.95%,Baicells 1202000291217RB0616,sexual-radio-alley-1053,up 13 days 23 hours 50 minutes
✅,#33,99.95%,Baicells 1202000470221TY0441,historical-phalange-pan-7743,up 13 days 23 hours 50 minutes
✅,#34,99.95%,Baicells 1202000291217RB0529,sharp-marmoset-grin-3827,up 13 days 23 hours 50 minutes
✅,#35,99.95%,Baicells 1202000240217GY0117,international-fiber-currant-3117,up 13 days 23 hours 50 minutes
✅,#36,99.95%,Baicells 12020002402129Y0178,whispering-carver-fragment-7608,up 13 days 23 hours 50 minutes
✅,#37,99.95%,Baicells 12020002402118Y0297,lexical-dead-saturn-6270,up 13 days 23 hours 50 minutes
✅,#38,99.90%,Baicells 1202000470221TY0373,horrible-innovation-dilophosaurus-5871,up 13 days 23 hours 40 minutes
✅,#39,99.90%,Baicells 1202000291217RB0558,quixotic-viscount-radar-0530,up 13 days 23 hours 40 minutes
✅,#40,99.90%,Baicells 12020002402129Y0142,early-blizzard-raven-6800,up 13 days 23 hours 40 minutes
✅,#41,99.90%,BLiNQ F30A-21130010,then-glider-wren-1422,up 13 days 23 hours 40 minutes
✅,#42,99.85%,BLiNQ FI03-20420020,ultimate-bug-bramble-8214,up 13 days 23 hours 30 minutes
✅,#43,99.85%,Baicells 1202000291217RB0798,flexible-hortensia-mail-6855,up 13 days 23 hours 30 minutes
✅,#44,99.85%,Baicells 1202000470221TY0029,ashamed-macaw-cover-4260,up 13 days 23 hours 30 minutes
✅,#45,99.85%,Baicells 1202000291217RB0554,fashionable-dollar-mojoceratops-2336,up 13 days 23 hours 30 minutes
✅,#46,99.85%,Baicells 120200024020CPY0002,curious-allosaurus-bow-5780,up 13 days 23 hours 30 minutes
✅,#47,99.85%,Baicells 12020002402129Y0181,curious-allosaurus-bow-5780,up 13 days 23 hours 30 minutes
✅,#48,99.85%,Baicells 1202000240215KY0038,parental-pitcher-zenobia-0115,up 13 days 23 hours 30 minutes
✅,#49,99.85%,Baicells 12020002402118Y0208,lexical-dead-saturn-6270,up 13 days 23 hours 30 minutes
✅,#50,99.85%,Baicells 12020004212217Y0173,annoyed-pitcher-answer-0280,up 13 days 23 hours 30 minutes
✅,#51,99.80%,Baicells 1202000291217RB0739,drunk-telephone-milkshake-1534,up 13 days 23 hours 20 minutes
✅,#52,99.75%,Baicells 1202000470221TY0357,zoophagous-paneer-sunset-8177,up 13 days 23 hours 10 minutes
✅,#53,99.75%,Baicells 1202000470221TY0423,ltd-atom-sombrero-1077,up 13 days 23 hours 10 minutes
✅,#54,99.75%,Baicells 1202000470221TY0122,mad-thunbergia-scarer-2125,up 13 days 23 hours 10 minutes
✅,#55,99.75%,Baicells 1202000470221TY0153,uncertain-cornflower-archer-2633,up 13 days 23 hours 10 minutes
✅,#56,99.75%,Baicells 120200046421CKY0206,accurate-motion-fenugreek-6867,up 13 days 23 hours 10 minutes
✅,#57,99.70%,Baicells 1202000291217RB0869,creepy-hawthorn-skunk-8865,up 13 days 23 hours 0 minutes
✅,#58,99.70%,Baicells 1202000291217RB0176,familiar-collarbone-caravan-2824,up 13 days 23 hours 0 minutes
✅,#59,99.55%,Baicells 1202000291217RB0025,familiar-collarbone-caravan-2824,up 13 days 22 hours 30 minutes
✅,#60,99.40%,Baicells 1202000240215KY0151,international-fiber-currant-3117,up 13 days 22 hours 0 minutes
✅,#61,99.21%,Baicells 1202000470221TY0291,ugly-structure-hare-3025,up 13 days 21 hours 20 minutes
✅,#62,99.01%,Baicells 12020002402129Y0088,early-blizzard-raven-6800,up 13 days 20 hours 40 minutes
✅,#63,98.96%,Baicells 1202000291217RB0270,passing-meteoroid-catfish-7264,up 13 days 20 hours 30 minutes
✅,#64,98.96%,Baicells 1202000291217RB0386,devoted-iris-muskmelon-5338,up 13 days 20 hours 30 minutes
✅,#65,98.96%,Baicells 1202000291217RB0837,devoted-iris-muskmelon-5338,up 13 days 20 hours 30 minutes
✅,#66,98.86%,Baicells 1202000291217RB0320,quixotic-viscount-radar-0530,up 13 days 20 hours 10 minutes
✅,#67,98.81%,Baicells 1202000291217RB0290,passing-meteoroid-catfish-7264,up 13 days 20 hours 0 minutes
✅,#68,98.71%,Baicells 12020002402118Y0299,disabled-monitor-tangelo-5610,up 13 days 19 hours 40 minutes
✅,#69,98.66%,Baicells 1202000470221TY0164,flying-dance-movie-6075,up 13 days 19 hours 30 minutes
✅,#70,98.66%,Baicells 120200039521AGB0686,electronic-marquess-silene-0866,up 13 days 19 hours 30 minutes
✅,#71,98.36%,Baicells 1202000470221TY0065,sure-milkshake-eggnog-4102,up 13 days 18 hours 30 minutes
✅,#72,98.07%,BLiNQ F30A-21130047,implicit-article-eustoma-2834,up 13 days 17 hours 30 minutes
✅,#73,96.48%,Baicells 1202000240215KY0268,whispering-carver-fragment-7608,up 13 days 12 hours 10 minutes
✅,#74,93.80%,Baicells 12020004212217Y0072,guilty-vacation-doom-2136,up 13 days 3 hours 10 minutes
✅,#75,87.35%,BLiNQ F30A-21300029,wicked-xenon-sink-7226,up 12 days 5 hours 30 minutes
✅,#76,87.35%,BLiNQ F30A-21300020,wicked-xenon-sink-7226,up 12 days 5 hours 30 minutes
✅,#77,80.36%,BLiNQ F30A-21130019,then-glider-wren-1422,up 11 days 6 hours 0 minutes
❌,#78,70.14%,Baicells 120200024020CPY0130,elderly-outrigger-referee-1684,up 9 days 19 hours 40 minutes
❌,#79,56.30%,Baicells 1202000291217RB0838,cautious-sparrow-centaur-1607,up 7 days 21 hours 10 minutes
❌,#80,54.22%,Baicells 1202000470221TY0296,mighty-guitar-rocket-1514,up 7 days 14 hours 10 minutes
❌,#81,53.77%,Baicells 1202000470221TY0019,contemporary-breath-noun-8703,up 7 days 12 hours 40 minutes
❌,#82,53.72%,BLiNQ FI03-20430020,brilliant-banana-hat-3231,up 7 days 12 hours 30 minutes
❌,#83,53.57%,BLiNQ F30A-21180020,brilliant-banana-hat-3231,up 7 days 12 hours 0 minutes
❌,#84,47.07%,BLiNQ F30A-21310012,overall-ozraraptor-paper-3123,up 6 days 14 hours 10 minutes
❌,#85,46.18%,BLiNQ FI03-20430009,official-logic-bonobo-3005,up 6 days 11 hours 10 minutes
❌,#86,42.71%,Baicells 1202000291217RB0447,inadequate-daffodil-kryptops-8641,up 5 days 23 hours 30 minutes
❌,#87,27.33%,Baicells 1202000470221TY0187,compulsory-mallow-promotion-6180,up 3 days 19 hours 50 minutes
❌,#88,0.50%,Baicells 1202000470221TY0257,effective-spoonbill-reply-5114,up 1 hours 40 minutes
❌,#89,0.45%,BLiNQ F30A-21180017,associated-gosling-leader-0001,up 1 hours 30 minutes
❌,#90,0.15%,Baicells 1202000470221TY0308,annoyed-pitcher-answer-0280,up 30 minutes
❌,#91,0.11%,Baicells 1202000291217RB0490,yucky-supermarket-drawbridge-7510,up 20 minutes
❌,#92,0.06%,Baicells 1202000291217RB0642,yucky-supermarket-drawbridge-7510,up 10 minutes
❌,#93,0.00%,Baicells 1202000470221TY0267,eastern-pair-cattle-4170,up 0 minutes
❌,#94,0.00%,Baicells 1202000291217RB0720,eastern-pair-cattle-4170,up 0 minutes
❌,#95,0.00%,Baicells 1202000291217RB0700,early-windscreen-muskmelon-5820,up 0 minutes
❌,#96,0.00%,Baicells 1202000291217RB0787,just-bowler-nut-0716,up 0 minutes
❌,#97,0.00%,Baicells 1202000291217RB0857,wicked-xenon-sink-7226,up 0 minutes
❌,#98,0.00%,Baicells 1202000291217RB0306,uncomfortable-romano-punishment-5336,up 0 minutes
❌,#99,0.00%,Baicells 1202000470221TY0064,zoophagous-paneer-sunset-8177,up 0 minutes
❌,#100,0.00%,BLiNQ F30A-21130017,gorgeous-bread-spectroscope-2221,up 0 minutes
❌,#101,0.00%,Baicells 1202000291217RB0717,flexible-hortensia-mail-6855,up 0 minutes
❌,#102,0.00%,Baicells 1202000470221TY0059,conceptual-dragonfly-playground-3886,up 0 minutes
❌,#103,0.00%,Baicells 1202000470221TY0440,muddy-entree-book-3884,up 0 minutes
❌,#104,0.00%,Baicells 1202000470221TY0443,muddy-entree-book-3884,up 0 minutes
❌,#105,0.00%,Baicells 1202000470221TY0009,likely-jitterbug-week-7700,up 0 minutes
❌,#106,0.00%,BLiNQ F30A-21300031,conscious-mockingbird-peak-0534,up 0 minutes
❌,#107,0.00%,Baicells 1202000470221TY0057,gentle-chartreuse-appliance-2144,up 0 minutes
❌,#108,0.00%,Baicells 1202000291217RB0726,female-foundation-side-0357,up 0 minutes
❌,#109,0.00%,Baicells 1202000291217RB0460,yappiest-chive-shrine-4338,up 0 minutes
❌,#110,0.00%,Baicells 1202000470221TY0311,ministerial-player-buckaroo-2170,up 0 minutes
❌,#111,0.00%,Baicells 1202000470221TY0179,criminal-garment-azalea-2847,up 0 minutes
❌,#112,0.00%,Baicells 1202000470221TY0378,marvellous-whimsey-carriage-3348,up 0 minutes
❌,#113,0.00%,Baicells 1202000470221TY0145,uninterested-bismuth-idea-7135,up 0 minutes
❌,#114,0.00%,Baicells 1202000395219NB0995,honest-duckling-dance-6157,up 0 minutes
❌,#115,0.00%,Baicells 1202000470221TY0377,upset-grenadilla-boot-8738,up 0 minutes
❌,#116,0.00%,"BLiNQ """"",neat-swoop-visitor-1132,up 0 minutes
❌,#117,0.00%,BLiNQ FI03-20510058,probable-lock-chair-7838,up 0 minutes
❌,#118,0.00%,BLiNQ FI03-21010063,probable-lock-chair-7838,up 0 minutes
❌,#119,0.00%,Baicells 1202000421218WB0003,living-salute-brother-2432,up 0 minutes
❌,#120,0.00%,Baicells 1202000470221TY0006,resonant-comte-accelerator-0602,up 0 minutes
❌,#121,0.00%,Baicells 1202000240215KY0087,elderly-outrigger-referee-1684,up 0 minutes
❌,#122,0.00%,Baicells 120200046421CKY0647,marked-scribe-hair-7732,up 0 minutes
❌,#123,0.00%,Baicells 120200039521AGB0614,marked-scribe-hair-7732,up 0 minutes
❌,#124,0.00%,Baicells 1202000291217RB0307,determined-pyjama-broccoli-7888,up 0 minutes
❌,#125,0.00%,BLiNQ F30A-21320007,determined-pyjama-broccoli-7888,up 0 minutes
❌,#126,0.00%,BLiNQ F30A-21130011,determined-pyjama-broccoli-7888,up 0 minutes
❌,#127,0.00%,Baicells 1202000291217RB0669,determined-pyjama-broccoli-7888,up 0 minutes
❌,#128,0.00%,BLiNQ X30A-21381004,determined-pyjama-broccoli-7888,up 0 minutes
❌,#129,0.00%,Baicells 120200039521AGB0925,imperial-soapwort-whimsey-4804,up 0 minutes
❌,#130,0.00%,BLiNQ F30A-21140012,thirsty-spinach-store-8765,up 0 minutes
❌,#131,0.00%,Baicells 1202000240198TP0032,proper-glove-winter-1742,up 0 minutes
❌,#132,0.00%,Baicells 1202000291217RB0689,proper-glove-winter-1742,up 0 minutes
❌,#133,0.00%,BLiNQ FI03-20450006,squealing-frame-pyramid-4851,up 0 minutes
❌,#134,0.00%,BLiNQ F30A-21150043,squealing-frame-pyramid-4851,up 0 minutes
❌,#135,0.00%,BLiNQ FI03-21030008,associated-gosling-leader-0001,up 0 minutes
❌,#136,0.00%,BLiNQ F30A-21150065,official-logic-bonobo-3005,up 0 minutes
❌,#137,0.00%,BLiNQ F30A-21150032,official-logic-bonobo-3005,up 0 minutes